species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Fijivirus boryzae	Southern rice black streaked dwarf virus (SRBSDV)		viruses	519497	Southern rice black streaked dwarf (infects maize)	南方水稻黑条矮缩病毒(侵染玉米)	confirmed	Zhou G, Xu D, Xu D, et al. Southern rice black-streaked dwarf virus: a white-backed planthopper-transmitted fijivirus threatening rice production in Asia[J]. Frontiers in microbiology, 2013, 4: 270.	present	13	NC_014708.1; NC_014709.1; NC_014710.1; NC_014711.1; NC_014712.1; NC_014713.1; NC_014714.1; NC_014715.1; NC_014716.1; NC_014717.1; PP316494.1; PP316495.1; PP316496.1		
Fijivirus cuartoense	Mal de Rio Cuarto virus (MRCV)		viruses	185954	Mal de Rio Cuarto disease (maize rough dwarf)	里奥夸尔托病毒病(阿根廷玉米粗缩病)	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	4	NC_008734.1; NC_008735.1; NC_008736.1; NC_008737.1		
Fijivirus zeae	Maize rough dwarf virus (MRDV)		viruses	10989	Maize rough dwarf disease	玉米粗缩病(欧洲株系)	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	3	MN103286.1; MN103287.1; MN103288.1		NCBI species node resolved; original isolate TaxID retained
Gammanucleorhabdovirus cerealis	Cereal chlorotic mottle virus		viruses	2964312	Cereal chlorotic mottle	玉米禾谷褪绿斑驳病	confirmed	Greber R S. Cereal chlorotic mottle virus—a rhabdovirus of Gramineae in Australia transmitted by Nesoclutha pallida (Evans)[J]. Australian Journal of Agricultural Research, 1979, 30(3): 433-443.	present	2	NC_117253.1		
Gammanucleorhabdovirus maydis	Maize fine streak virus (MFSV)		viruses	209854	Maize fine streak	玉米细条斑病	confirmed	Redinbaugh M G, Seifers D L, Meulia T, et al. Maize fine streak virus, a new leafhopper-transmitted rhabdovirus[J]. Phytopathology, 2002, 92(11): 1167-1174.	present	2	NC_005974.1		
Hordeivirus hordei	Barley stripe mosaic virus		viruses	12327	Barley stripe mosaic	玉米矮缩病毒病	confirmed	Pring D R. Barley stripe mosaic virus infection of corn and the" aberrant ratio" genetic effect[J]. 1974.	present	3	ON924210.1; ON924211.1; ON924212.1		
Luteovirus mavhordei	Barley yellow dwarf virus-MAV (BYDV-MAV) ( Maize leaf fleck virus)		viruses	2169984	Barley yellow dwarf (infects maize)	大麦黄矮病(侵染玉米)	confirmed	Bisnieks, M., Kvarnheden, A., Turka, I., & Sigvald, R. (2006). Occurrence of barley yellow dwarf virus and cereal yellow dwarf virus in pasture grasses and spring cereals in Latvia. Acta Agriculturae Scandinavica, Section B — Soil & Plant Science, 56(3), 171–178. https://doi.org/10.1080/09064710500297658	present	39	NC_003680.1; OQ686648.1; OQ686649.1; OQ686650.1; OQ686651.1; OQ686652.1; OQ686653.1; OQ686654.1; OQ686655.1; OQ686656.1; OQ686657.1; OQ686658.1; OQ686659.1; OQ686660.1; OQ686661.1; OQ686662.1; OQ686663.1; OQ686664.1; OQ686665.1; OQ686666.1; OQ686667.1; OQ686668.1; OQ686669.1; OQ686670.1; OQ686671.1; OQ686672.1; OQ686673.1; OQ686674.1; OQ686675.1; OQ686676.1; OQ686677.1; OQ686678.1; OQ686679.1; OQ686680.1; OQ686681.1; OR771729.1; PV978102.1; PV978103.1; PV978104.1		
Machlomovirus zeae	Maize chlorotic mottle virus (MCMV)		viruses	12138	Maize lethal necrosis (synergistic)	玉米致死性坏死病	confirmed	Jones RAC. (2022). Global Plant Virus Disease Pandemics. Plants	present	43	MK787304.1; MN706213.1; MN706214.1; MN706215.1; MN706216.1; MN706217.1; MN706218.1; MN706219.1; MN706220.1; MN706221.1; MN706222.1; MN706223.1; MN706224.1; MN706225.1; MN706226.1; MN706227.1; MN706228.1; MN706229.1; MN706230.1; MN706231.1; MN706235.1; MN706236.1; MN706237.1; MN706238.1; MN706239.1; MN706240.1; MN706241.1; MN706242.1; MN756483.1; MN822301.1; MN822302.1; MN822303.1; OK181780.1; PV974307.1; PV974308.1; PV974309.1; PV974310.1; PV974311.1; PV974312.1; PV974313.1; PV974318.1; PV974319.1; PZ270488.1		
Maize yellow stripe virus	Maize yellow stripe virus		viruses	328622	Maize yellow stripe	玉米黄条病毒病	confirmed	Mahmoud A, Royer M, Granier M, et al. Evidence for a segmented genome and partial nucleotide sequences of maize yellow stripe virus, a proposed new tenuivirus[J]. Archives of virology, 2007, 152(9): 1757-1762.	present	3	AJ969415.1; AJ969416.1; GQ289374.1		
Marafivirus maydis	Maize rayado fino virus (MRFV)		viruses	59749	Maize rayado fino	玉米雷亚多菲诺病毒病	confirmed	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.	present	3	KM523134.1; NC_002786.2		
Mastrevirus bourbonense	Maize streak Reunion virus		viruses	1182518	Wheat streak mosaic	玉米条斑花叶病	confirmed	Oyeniran K A, Hartnady P, Claverie S, et al. How virulent are emerging maize-infecting mastreviruses?[J]. Archives of virology, 2021, 166(3): 955-959.	present	12	JQ624880.1; KJ437669.1; KJ437670.1; KM230031.1; KT717933.1; MK329304.1; MK329305.1; MK546378.1; NC_017917.1; PQ424983.1; PQ424984.1		
Mastrevirus fulleri	Maize streak dwarfing virus		viruses	2557970	Maize Stripe Dwarf Virus	玉米条纹矮缩病	confirmed	Guadie D, Tesfaye K, Knierim D, et al. Molecular analysis of maize (Zea mays L.)-infecting mastreviruses in Ethiopia reveals marked diversity of virus genomes and a novel species[J]. Virus genes, 2019, 55(3): 339-345.	present	4	MK329301.1; MK329302.1; MK329303.1; NC_055519.1		
Mastrevirus storeyi	Maize streak virus (MSV)		viruses	10821	Maize streak disease	玉米条纹病	confirmed	Santa Cruz F C, Domalanta J C, Minguez L T, et al. First report of maize streak virus affecting maize in the Philippines[J]. New Disease Reports, 2024, 50(1).	present	43	AF007881.1; AF329889.1; OQ102044.1; OQ211418.1; OQ211419.1; OQ211420.1; OQ211421.1; OQ211422.1; OQ211423.1; OQ211428.1; OQ211429.1; OQ211430.1; OQ211431.1; OQ211432.1; OQ211433.1; OQ211434.1; OQ211435.1; OQ211436.1; OQ211437.1; OQ211438.1; OQ211439.1; OQ211440.1; OQ211441.1; OQ211442.1; OQ211444.1; OQ211445.1; OQ211446.1; OQ211447.1; OQ211448.1; OQ211449.1; OQ211450.1; OQ211451.1; OQ211452.1; OQ211454.1; OR258386.1; OR258387.1; OR258388.1; OR258392.1; OR258395.1; OR258396.1; OR258397.1; OR258398.1; OR258402.1		
Polerovirus MAYMV	Maize yellow mosaic virus (MaYMV)		viruses	1856642	Maize yellow mosaic	玉米黄花叶病	confirmed	Stewart L R, Willie K. Maize yellow mosaic virus interacts with maize chlorotic mottle virus and sugarcane mosaic virus in mixed infections, but does not cause maize lethal necrosis[J]. Plant disease, 2021, 105(10): 3008-3014.	present	40	KU179221.1; KU248490.1; KU291099.1; KU291100.1; KU291101.1; KU291102.1; KU291103.1; KU291104.1; KU291105.1; KU291106.1; KU291107.1; KU291108.1; KY378940.1; KY940544.1; MF385583.1; MF684369.1; MG570476.1; MK652148.1; MK652149.1; MK652150.1; MN943641.1; MT809617.1; MW036244.1; NC_029990.1; NC_075108.1; OK331995.1; PP294862.1; PQ231203.1; PV974293.1; PV974294.1; PV974295.1; PV974296.1; PV974297.1; PV974298.1; PV974299.1; PV974300.1; PV974301.1; PV974305.1; PV974306.1; PX412243.1		
Polerovirus MYDVRMV	Maize yellow dwarf virus-RMV (MYDV-RMV)		viruses	2170101	Maize yellow dwarf	玉米黄矮病	confirmed	Krueger E N, Beckett R J, Gray S M, et al. The complete nucleotide sequence of the genome of Barley yellow dwarf virus-RMV reveals it to be a new Polerovirus distantly related to other yellow dwarf viruses[J]. Frontiers in Microbiology, 2013, 4: 205.	present	3	MF974579.2; MH205607.1; NC_021484.1		
Potyvirus halapensis	Johnsongrass mosaic virus (JGMV)		viruses	31742	Johnsongrass mosaic (infects maize)	约翰逊草花叶病	confirmed	Stewart L R, Willie K, Wijeratne S, et al. Johnsongrass mosaic virus contributes to maize lethal necrosis in East Africa[J]. Plant disease, 2017, 101(8): 1455-1462.	present	4	KT289893.1; KT833782.1; NC_003606.1; OQ060497.1		
Potyvirus pennisseti	Pennisetum Mosaic Virus		viruses	221262	Maize Dwarf Mosaic Viruses	玉米矮花叶病	confirmed	Fan Z F, Wang W J, Jiang X, et al. Natural infection of maize byPennisetum mosaic virusin China[J]. Plant pathology, 2004, 53(6).	present	22	DQ977725.1; JX070139.1; JX070140.1; JX070141.1; JX070142.1; JX070143.1; JX070144.1; JX070145.1; JX070146.1; JX070147.1; JX070148.1; JX070149.1; JX070150.1; JX070151.1; JX070152.1; JX070153.1; JX070154.1; JX070155.1; JX070156.1; JX070157.1; KX660769.1; NC_007147.1		
