species	full_name	synonyms	category	taxid	disease_en	disease_cn	evidence_level	evidence_refs_raw	sequence_status	sequence_count	accessions	missing_reason	notes
Fusarium meridionale	Fusarium meridionale		fungi	282269	Gibberella ear rot (S. America)/Red ear rot	赤霉穗腐病(南美洲)	confirmed	Xi K, Shan L, Yang Y, et al. Species diversity and chemotypes of Fusarium species associated with maize stalk rot in Yunnan province of southwest China[J]. Frontiers in Microbiology, 2021, 12: 652062.	present	28	KY466816.1; KY466821.1; KY466822.1; KY466823.1; KY466835.1; KY466836.1; KY466837.1; KY466839.1; KY466876.1; KY466877.1; KY466878.1; KY466883.1; KY466887.1; MK524722.1; MW016620.1; MW016621.1; MW016622.1; OR538625.1; OR538638.1; PQ295802.1; PQ295805.1; PX447086.1; PX789767.1; PX789770.1; PX789772.1; PX789782.1; PX789783.1; PX789784.1		
Fusarium napiforme	Fusarium napiforme		fungi	42672	ear rot	穗腐病	confirmed	Morales-Rodríguez I, de Yañz-Morales M J, Silva-Rojas H V, et al. Biodiversity of Fusarium species in Mexico associated with ear rot in maize, and their identification using a phylogenetic approach[J]. Mycopathologia, 2007, 163(1): 31-39.	present	39	AY303609.1; DQ297553.1; DQ297554.1; DQ297555.1; HQ165918.1; KR071650.1; KU604029.1; KU950732.1; KU950733.1; KU950736.1; KU974310.1; LC184201.1; LC363505.1; LC903237.1; MG515227.1; MH685904.1; MH874278.1; MK072719.1; MK072720.1; MK239976.1; MK804346.1; MN522017.1; MN548366.1; MT072220.1; MW301429.1; OL699890.1; OL711962.1; OM194086.1; ON204349.1; OQ398018.1; OQ983871.1; OR400660.1; PQ657495.1; PV277815.1; PX830122.1; PX858201.1; PZ382062.1; U34570.1		
Fusarium oxysporum	Fusarium oxysporum		fungi	5507	Maize Seedling Root Rots	玉米根腐苗枯病	confirmed	Okello P N, Petrović K, Kontz B, et al. Eight species of Fusarium cause root rot of corn (Zea mays) in South Dakota[J]. Plant Health Progress, 2019, 20(1): 38-43.	present	43	PZ796550.1; PZ804902.1; PZ805097.1; PZ810690.1; PZ810721.1; PZ815778.1; PZ816546.1; PZ823053.1; PZ823054.1; PZ823056.1; PZ823058.1; PZ823060.1; PZ823062.1; PZ823063.1; PZ823064.1; PZ823067.1; PZ823068.1; PZ823069.1; PZ823070.1; PZ823071.1; PZ823072.1; PZ823073.1; PZ823074.1; PZ823075.1; PZ823076.1; PZ823077.1; PZ823078.1; PZ823079.1; PZ823080.1; PZ823081.1; PZ823082.1; PZ823083.1; PZ823084.1; PZ823085.1; PZ823086.1; PZ823087.1; PZ823088.1; PZ823089.1; PZ824712.1; PZ830433.1; PZ832386.1; PZ832389.1; PZ834578.1		
Fusarium poae	Fusarium poae		fungi	36050	Fusarium ear rot	镰刀菌穗腐病	confirmed	Chelkowski J, Lew H, Pettersson H. Fusarium poae (Peck) Wollenw.—Occurrence in maize ears, nivalenol production and mycotoxin accumulation in cobs[J]. Mycotoxin Research, 1994, 10(2): 116-120.	present	43	MH854775.1; MH855173.1; MH858407.1; MH859029.1; MH864974.1; ON209613.1; ON209614.1; ON209615.1; ON209616.1; ON209617.1; ON229418.1; ON229421.1; ON229422.1; OP437866.1; OR142397.1; OR346014.1; OR357887.1; OR392722.1; OR562038.1; OR562043.1; OR598700.1; PP336541.1; PP501042.1; PP947375.1; PQ340546.1; PV077297.1; PV367985.1; PV444245.1; PV592550.1; PV639391.1; PV843836.1; PV931816.1; PX363266.1; PX363269.1; PX369158.1; PX369159.1; PX369160.1; PX591066.1; PX659853.1; PX725696.1; PZ675597.1; PZ695182.1; PZ695189.1		
Fusarium proliferatum	Fusarium proliferatum		fungi	948311	Fusarium ear rot/stalk rot/Corn sheath rot	镰刀菌穗腐病/茎腐病/鞘腐病	confirmed	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	present	43	PP922462.1; PQ882780.2; PZ623434.1; PZ623438.1; PZ623459.1; PZ623888.1; PZ623924.1; PZ625877.1; PZ625882.1; PZ627222.1; PZ627256.1; PZ645984.1; PZ645985.1; PZ652687.1; PZ653161.1; PZ675048.1; PZ675369.1; PZ683007.1; PZ683011.1; PZ688019.1; PZ688020.1; PZ697422.1; PZ704152.1; PZ730068.1; PZ734318.1; PZ734333.1; PZ734344.1; PZ734364.1; PZ734365.1; PZ734368.1; PZ734369.1; PZ734383.1; PZ734387.1; PZ734395.1; PZ734402.1; PZ734404.1; PZ741300.1; PZ780064.1; PZ780071.1; PZ785100.1; PZ805020.1; PZ805099.1; PZ810722.1		
Fusarium pseudograminearum	Fusarium pseudograminearum		fungi	101028	Crown rot/stalk rot	冠腐病/茎腐病	confirmed	Jiang H, Ma L G, Qi K, et al. First report of maize seedling blight caused by Fusarium pseudograminearum in China[J]. Plant disease, 2022, 106(9): 2519.	present	43	MH865930.1; OK481074.1; OL440929.1; OL440930.1; OL440932.1; OL872319.1; OL872329.1; OL872339.1; OM108102.1; OM980231.1; ON306853.1; ON306854.1; ON306855.1; ON687723.1; OP136036.1; OP364006.1; OP364007.1; OR582866.1; PP087309.1; PP336542.1; PP406537.1; PQ217121.1; PQ319699.1; PQ416029.1; PQ657542.1; PQ721291.1; PQ721293.1; PV367984.1; PV478111.1; PV596288.1; PV774561.1; PV810307.1; PX022589.1; PX022591.1; PX128503.1; PX370044.1; PX370045.1; PX457499.1; PX457500.1; PX457504.1; PX457506.1; PX472025.1; PZ293192.1		
Fusarium pseudonygamai	Fusarium pseudonygamai		fungi	47755	ear rot/stalk rot	穗腐病/茎腐病	confirmed	Chehri K, Zafari D, Nurhazrati M, et al. Natural occurrence of Fusarium species associated with root and stalk rot of maize in Kermanshah Province, Iran[J]. 2010.	present	27	DQ297559.1; DQ297560.1; DQ297561.1; DQ297563.1; FJ154075.1; GU205418.1; HM051063.1; HM776423.1; HM855220.1; KJ125580.1; KJ410032.1; KR534713.1; KR909406.1; KU856651.1; KY018925.1; MH862656.1; MN398193.1; MN577270.1; MT889894.1; MW014927.1; ON209694.1; OQ701132.1; OQ701207.1; OW984302.1; PP573898.1; PQ069706.1; PV800122.1		
Fusarium sacchari	Fusarium sacchari		fungi	42676	stalk rot	茎腐病	confirmed	Carrer Filho R, Guimarães M, Abreu V P, et al. Fusarium sacchari associated with stem rot in sweet corn in Brazil[J]. Pesquisa Agropecuária Tropical, 2023, 53: e74263.	present	43	MH854822.1; MH855037.1; MH855272.1; MH855403.1; MH855885.1; PX647282.1; PX651165.1; PX755859.1; PX957575.1; PZ027954.1; PZ129590.1; PZ208704.1; PZ266752.1; PZ311704.1; PZ394332.1; PZ501429.1; PZ501430.1; PZ501431.1; PZ501432.1; PZ502134.1; PZ502135.1; PZ502227.1; PZ502228.1; PZ502229.1; PZ509471.1; PZ509491.1; PZ509615.1; PZ509618.1; PZ509636.1; PZ509643.1; PZ509644.1; PZ513332.1; PZ513333.1; PZ513334.1; PZ513335.1; PZ513336.1; PZ513337.1; PZ513338.1; PZ513339.1; PZ513340.1; PZ710560.1; PZ734421.1; PZ794434.1		
Fusarium solani (Neocosmospora solani)	Neocosmospora solani/Fusarium solani	Neocosmospora solani	fungi	169388	Fusarium root rot, stalk rot	镰刀菌根腐病/茎腐病	confirmed	Okello P N, Mathew F M. Cross pathogenicity studies show South Dakota isolates of Fusarium acuminatum, F. equiseti, F. graminearum, F. oxysporum, F. proliferatum, F. solani, and F. subglutinans from either soybean or corn are pathogenic to both crops[J]. Plant Health Progress, 2019, 20(1): 44-49.	present	43	LC903137.1; PV960692.1; PZ373007.1; PZ433258.2; PZ725497.1; PZ727094.1; PZ734314.1; PZ734328.1; PZ734329.1; PZ734334.1; PZ734343.1; PZ734356.1; PZ734357.1; PZ734371.1; PZ734379.1; PZ734380.1; PZ734390.1; PZ734400.1; PZ734412.1; PZ734418.1; PZ738473.1; PZ741299.1; PZ745970.1; PZ745971.1; PZ745972.1; PZ748725.1; PZ748726.1; PZ748727.1; PZ748730.1; PZ748731.1; PZ748732.1; PZ748733.1; PZ748734.1; PZ748735.1; PZ766233.1; PZ766601.1; PZ785585.1; PZ796555.1; PZ796556.1; PZ796557.1; PZ796558.1; PZ804687.1; PZ827122.1		
Fusarium sporotrichioides	Fusarium sporotrichioides		fungi	5514	Fusarium ear rot	镰刀菌穗腐病	confirmed	Wang B B, Guo C, Sun S L, et al. First report of maize ear rot caused by Fusarium sporotrichioides in China[J]. Plant Disease, 2020, 104(2): 567.	present	37	MH855269.1; PV073962.1; PX369180.1; PX369181.1; PX369182.1; PX369183.1; PX369184.1; PX369185.1; PX369186.1; PX369187.1; PX369188.1; PX376604.1; PX376605.1; PX376606.1; PX393955.1; PX459718.1; PX622611.1; PX622895.1; PX683128.1; PX928259.1; PX928262.1; PX928745.1; PX928746.1; PX928775.1; PX928780.1; PX928784.1; PZ043043.1; PZ176882.1; PZ191446.1; PZ226505.1; PZ385195.1; PZ526759.1; PZ526762.1; PZ526766.1; PZ526767.1; PZ695170.1; PZ695174.1		
Fusarium subglutinans	Fusarium subglutinans		fungi	42677	Fusarium ear rot/stalk rot/Fusarium top rot	镰刀菌穗腐病/茎腐病/镰孢顶腐病	confirmed	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	present	43	LC769974.1; MH864398.1; OR346298.1; OR623763.1; PP336543.1; PP474113.1; PP858214.1; PP858215.1; PP858216.1; PP858217.1; PP858218.1; PP858219.1; PP858220.1; PP858221.1; PP901862.1; PQ289220.1; PQ436491.1; PQ471479.1; PQ579862.1; PV109003.1; PV130020.1; PV133542.1; PV477270.1; PV778601.1; PV891882.1; PX381143.1; PX654089.1; PX724063.1; PX755857.1; PX755858.1; PX845612.1; PX856651.1; PX928240.1; PX928275.1; PX928276.1; PZ117540.1; PZ266778.1; PZ368454.1; PZ506902.1; PZ506903.1; PZ658248.1; PZ734385.1; PZ765719.1		
Fusarium temperatum	Fusarium temperatum		fungi	1035347	Fusarium ear rot	镰刀菌穗腐病	confirmed	Fumero M V, Reynoso M M, Chulze S. Fusarium temperatum and Fusarium subglutinans isolated from maize in Argentina[J]. International Journal of Food Microbiology, 2015, 199: 86-92.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Fusarium tricinctum	Fusarium tricinctum		fungi	61284	Maize sheath rot	玉米鞘腐病	confirmed	Yang X, Xu X, Wang S, et al. Identification, pathogenicity, and genetic diversity of Fusarium spp. associated with maize sheath rot in Heilongjiang Province, China[J]. International journal of molecular sciences, 2022, 23(18): 10821.	present	43	MH856607.1; MH856847.1; MH862424.1; PV109755.1; PV109769.1; PV528761.1; PX071340.1; PX071351.1; PX071355.1; PX071357.1; PX071380.1; PX071439.1; PX071445.1; PZ025120.1; PZ025124.1; PZ025125.1; PZ152147.1; PZ152148.1; PZ152151.1; PZ152152.1; PZ152153.1; PZ152154.1; PZ163717.1; PZ266796.1; PZ305940.1; PZ305965.1; PZ344964.1; PZ345138.1; PZ380967.1; PZ386889.1; PZ386942.1; PZ392094.1; PZ392104.1; PZ476669.1; PZ476672.1; PZ477996.1; PZ532493.1; PZ556951.1; PZ585494.1; PZ585495.1; PZ690753.1; PZ697424.1; PZ770650.1		
Fusarium verticillioides (Gibberella moniliformis)	Fusarium verticillioides (Gibberella moniliformis)	Gibberella moniliformis	fungi	117187	Fusarium ear rot/Pink ear rot /Fusarium seedling blight	拟轮枝镰孢穂腐病/茎腐病/镰孢苗枯病	confirmed	Munkvold GP, Desjardins AE. (1997). Fumonisins in maize: can we reduce their occurrence? Plant Dis. 81:556-565	present	43	PV862255.1; PZ734327.1; PZ734332.1; PZ734338.1; PZ734339.1; PZ734340.1; PZ734345.1; PZ734347.1; PZ734350.1; PZ734351.1; PZ734352.1; PZ734360.1; PZ734362.1; PZ734363.1; PZ734366.1; PZ734367.1; PZ734370.1; PZ734372.1; PZ734373.1; PZ734375.1; PZ734376.1; PZ734378.1; PZ734382.1; PZ734386.1; PZ734388.1; PZ734389.1; PZ734394.1; PZ734396.1; PZ734397.1; PZ734399.1; PZ734401.1; PZ734403.1; PZ734405.1; PZ734407.1; PZ734408.1; PZ734414.1; PZ734415.1; PZ779813.1; PZ780481.1; PZ780482.1; PZ780483.1; PZ794754.1; PZ805112.1		
Gaeumannomyces graminis	Gaeumannomyces graminis		fungi	29850	Maize Take-all	玉米全蚀病	confirmed	Freeman J, Ward E. Gaeumannomyces graminis, the take‐all fungus and its relatives[J]. Molecular Plant Pathology, 2004, 5(4): 235-252.	present	43	JF414847.1; JF414848.1; JF414849.1; JF710374.1; JQ658339.1; KC989064.1; KJ188682.1; KJ572178.1; KP288244.1; KP404099.1; KR534655.1; KR610476.1; KR610477.1; KR610479.1; KR610481.1; KR610482.1; KR610485.1; KR610486.1; KR610487.1; KR610489.1; KR610490.1; KT692582.1; KU204557.1; KU574696.1; KU680382.1; KX306498.1; KX306499.1; KX306500.1; KX306501.1; KX306502.1; KX306503.1; KX306504.1; KX306505.1; KY570518.1; KY570519.1; MK281686.1; MK934588.1; MN587994.1; MT446125.1; MW157765.1; MZ513052.1; OM262259.1; OM262261.1		
Gibberella fujikuroi (Fusarium fujikuroi)	Fusarium fujikuroi(Gibberella fujikuroi )	Fusarium fujikuroi	fungi	5127	Fusarium ear/stalk rot	镰刀菌穗腐病/茎腐病	confirmed	O'Donnell K, Cigelnik E, Nirenberg H I. Molecular systematics and phylogeography of the Gibberella fujikuroi species complex[J]. Mycologia, 1998, 90(3): 465-493.	present	43	LC930054.1; MH855036.1; MH857023.1; MH857321.1; PP922463.1; PV565580.1; PZ230286.1; PZ246151.1; PZ263363.1; PZ263364.1; PZ266611.1; PZ266617.1; PZ266659.1; PZ266672.1; PZ266781.1; PZ266791.1; PZ266807.1; PZ326465.1; PZ326751.1; PZ327752.1; PZ327753.1; PZ327785.1; PZ345909.1; PZ392465.1; PZ412649.1; PZ456424.1; PZ456426.1; PZ477984.1; PZ488920.1; PZ488921.1; PZ490077.1; PZ490078.1; PZ490079.1; PZ490080.1; PZ490081.1; PZ490082.1; PZ501424.1; PZ501425.1; PZ507149.1; PZ528652.1; PZ556455.1; PZ728816.1; PZ734413.1		
Gloeocercospora sorghi / Microdochium sorghi	Microdochium sorghi /Gloeocercospora sorghi		fungi	1682391	Zonate leaf spot	豹纹病	confirmed	Velazquez P D. Microdochium sorghi on sorghum in northwestern Entre Ríos, Argentina[J]. 2024.	present	43	OR157960.1; OR157963.1; OR157965.1; OR157966.1; OR157975.1; OR157976.1; OR157978.1; OR157983.1; OR161409.1; OR161829.1; OR161880.1; OR161881.1; OR161882.1; OR164427.1; OR164429.1; OR164431.1; OR164439.1; OR164443.1; OR164444.1; OR164447.1; OR164448.1; OR164449.1; OR164455.1; OR164456.1; OR165792.1; OR165793.1; OR165804.1; OR178930.1; OR178990.1; OR179013.1; OR179642.1; OR179649.1; OR179893.1; OR179894.1; OR179925.1; OR180024.1; OR180025.1; OR180114.1; OR185563.1; OR187003.1; OR527957.1; PZ714586.1		
Gonatobotrys simplex	Melanospora simplex/Gonatobotrys simplex		fungi	2713053	seed rot	种腐病	confirmed	Vakili N G. Mycoparasitic fungi associated with potential stalk rot pathogens of corn[J]. Phytopathology, 1985, 75(11): 1201-1207.	present	2	MT110303.1; MT110304.1		
Graphium penicillioides	Graphium penicillioides		fungi	67620	Graphium stalk rot	粘束孢茎腐病	confirmed	Smith D R, White D G. Diseases of corn[J]. Corn and corn improvement, 1988, 18: 687-766.	present	21	AB038428.1; AB038431.1; AB038433.1; HQ335311.1; JX976317.1; KC427042.1; KC461514.1; KF887074.1; KF887146.1; KJ780752.1; KM433841.1; KY590152.1; KY852474.1; LC781768.1; LT615278.1; MN511349.1; OM743866.1; OQ978833.1; OW988461.1; PX633979.1; PX634013.1		
Harpophora maydis (Cephalosporium maydis/Magnaporthiopsis maydis)	Magnaporthiopsis maydis/Harpophora maydis /Cephalosporium maydis	Cephalosporium maydis; Magnaporthiopsis maydis	fungi	80373	Late wilt (black bundle disease)	晚枯病/黑束病	confirmed	Samra A S, Sabet K A, Hingorani M K. Late wilt disease of Maize caused by Cephalosporium maydis[J]. 1963.	present	43	AY428787.1; AY428788.1; KM009161.1; KM484857.1; KM484858.1; KM484859.1; KP164518.1; KX306544.1; LC888095.1; LC936394.1; LC936395.1; MT571490.1; MT612347.1; MT612350.1; MT612427.1; MT621196.1; MZ888512.1; MZ889012.1; MZ914683.1; MZ914686.1; MZ914693.1; MZ918941.1; MZ918946.1; MZ918991.1; MZ919304.1; ON564309.1; OP890270.1; OR511501.1; OR511502.1; OR511503.1; PP794674.1; PQ554801.1; PQ554802.1; PQ554803.1; PQ608555.1; PQ608559.1; PQ609368.1; PQ609371.1; PV498746.1; PX507523.1; PZ744401.1; PZ746696.1; PZ746748.1		
Helminthosporium hawaiiensis / Curvularia hawaiiensis	Helminthosporium hawaiiensis / Curvularia hawaiiensis		fungi	1230527	Curvularia leaf spot	弯孢叶斑病	confirmed	Suzui T, Kamphangridthrong T. The prevalence of maize and soybean diseases in Thailand[J]. 1979.	present	43	LC802637.1; MH857687.1; MH860526.1; MH863647.1; MH864411.1; MH864412.1; MH864413.1; OP710128.1; OQ076443.1; OQ928768.1; OR095766.1; OR095781.1; OR095819.1; OR269172.1; OR272046.1; OR485004.1; OR543164.1; OR543165.1; OR782121.1; OR835252.1; OR835253.1; OW983650.1; OW987550.1; OW987948.1; PP266807.1; PP374625.1; PP374626.1; PP463968.1; PP506328.1; PP861219.1; PP861220.1; PP861222.1; PP861223.1; PQ219414.1; PQ312634.1; PQ476034.1; PQ522053.1; PQ857674.1; PV035705.1; PV864881.1; PV990331.1; PX210759.1; PX271055.1		
Helminthosporium pedicellatum/Exserohilum pedicellatum	Helminthosporium pedicellatum/Exserohilum pedicellatum		fungi	119929	root rot	根腐病	confirmed	Egunjobi O L A, Norton D C, Martinson C. Interaction of pra tylenchus scribneri and helminthosporium pedicellatum in the etiology of corn root rot[J]. Phytoparasitica, 1986, 14(4): 287-295. Isakeit T, Gao X, Kolomiets M. Exserohilum pedicellatum root rot of corn in Texas[J]. Plant Disease, 2007, 91(5): 634-634.	present	20	AF229478.1; LT631330.1; LT837452.1; MH818807.1; MN957742.1; MW376920.1; MW548088.1; MW628170.1; MW775862.1; MW775863.1; MW775943.1; MW776092.1; MW776278.1; OP218544.1; OR600305.1; PP564799.1; PV520550.1; PX251466.1; PX251467.1; PX251468.1		
Helminthosporium tetramera / Curvularia spicifera/Bipolaris spicifera	Curvularia spicifera/Bipolaris spicifera/Helminthosporium tetramera		fungi	145392	Curvularia leaf spot	弯孢叶斑病	confirmed	Li G F, Liu K X, Xiao S Q, et al. First report of leaf spot of maize (Zea mays) caused by Bipolaris spicifera in China[J]. Plant Disease, 2016, 100(4): 855-855.	present	43	MH855184.1; MH855185.1; MH857033.1; MH858441.1; MH858442.1; MH859712.1; MH863648.1; MH864011.1; PQ533629.1; PQ764003.1; PV363273.1; PV639796.1; PV639797.1; PV659839.1; PV665501.1; PV932920.1; PV948935.1; PX061694.1; PX238650.1; PX248712.1; PX317617.1; PX410967.1; PX411416.1; PX480654.1; PX672545.1; PX921693.1; PX944736.1; PX963647.1; PX963692.1; PX969718.1; PX969729.1; PX970191.1; PX974595.1; PZ027921.1; PZ127308.1; PZ179769.1; PZ179770.1; PZ179771.1; PZ231615.1; PZ270548.1; PZ281963.1; PZ380020.1; PZ645953.1		
Hyalothyridium maydis / Orphanocoela maydis	Orphanocoela maydis/ Hyalothyridium maydis		fungi	NOT_VERIFIED	leaf spot	叶斑病	confirmed	Latterell, F. M., & Rossi, A. E. 1984. A new species of Hyalothyridium associated with a leaf spot of maize in Latin America. Mycologia 76(3): 506–514. | NCBI Taxonomy 未收录 Orphanocoela/Hyalothyridium maydis	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Kabatiella zeae (Aureobasidium zeae)	Kabatiella zeae/Aureobasidium zeae	Aureobasidium zeae	fungi	1592451	Eyespot	玉米眼斑病/北方炭疽病(国内病害名称)	confirmed	Chen N, Xiao S, Sun J, et al. Virulence and molecular diversity in the Kabatiella zeae population causing maize eyespot in China[J]. Plant disease, 2020, 104(12): 3197-3206.	present	43	MH855318.1; MH860344.1; MT568644.1; MT889710.1; MT889711.1; MT889719.1; MT889720.1; MT889723.1; MT889724.1; MT889734.1; MT889735.1; MT889738.1; MT889757.1; MT889759.1; MT889760.1; MT889763.1; MT889817.1; MT889908.1; MT889909.1; MT889911.1; MT889912.1; MT889914.1; MT889915.1; MT889916.1; MT889921.1; MT889923.1; MT889925.1; MT889927.1; MT889928.1; MT889931.1; MT889932.1; MT889933.1; MT889969.1; MT889970.1; MT892866.1; MT892867.1; MT892870.1; MT892871.1; MT892872.1; MT892873.1; MT892874.1; MT892878.1; PV875371.1		
Lasiodiplodia theobromae / Botryodiplodia tubericola	Lasiodiplodia theobromae / Botryodiplodia tubericola		fungi	45133	Black kernel rot	穗黑腐病	confirmed	Ma H X, Zhang H J, Shi J, et al. First report of Lasiodiplodia theobromae causing maize ear rot in Hainan Province in Southern China[J]. Plant Disease, 2016, 100(10): 2160.	present	43	MH864419.1; MH865367.1; MH865370.1; MH865372.1; MH865374.1; PV642804.1; PZ112911.1; PZ112913.1; PZ586380.1; PZ586382.1; PZ596690.1; PZ596714.1; PZ597502.1; PZ597504.1; PZ597507.1; PZ597508.1; PZ597509.1; PZ597510.1; PZ597511.1; PZ597512.1; PZ597513.1; PZ625880.1; PZ626023.1; PZ686360.1; PZ686361.1; PZ686392.1; PZ689236.1; PZ694559.1; PZ702477.1; PZ702515.1; PZ716602.1; PZ716609.1; PZ716630.1; PZ716764.1; PZ716776.1; PZ729940.1; PZ737355.1; PZ761154.1; PZ765027.1; PZ804691.1; PZ810830.1		
Leptosphaeria multiseptata / Entodesmium multiseptatum	Leptosphaeria multiseptata / Entodesmium multiseptatum		fungi	NOT_VERIFIED	leaf spot	叶斑病	confirmed	MCGEE D C. Maize Diseases. Saint Paul: The American Phytopathological Society Press, 1988. 王晓鸣等. 玉米病害和病原名称整理及其汉译名称规范化探讨. 《中国农业科学》,2020. | NCBI Taxonomy 未收录 Leptosphaeria/Entodesmium multiseptata	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Leptosphaeria variiseptata / Phaeosphaeria variiseptata	Leptosphaeria variiseptata / Phaeosphaeria variiseptata		fungi	NOT_VERIFIED	leaf spot	叶斑病	confirmed	MUNKVOLD G P, WHITE D G. Compendium of Corn Diseases. 4th ed. Saint Paul: The American Phytopathological Society Press, 2016. | NCBI Taxonomy 未收录 Leptosphaeria/Phaeosphaeria variiseptata	missing	0		TaxID NOT_VERIFIED; no marker sequence linked	TAXID_PENDING; NCBI Taxonomy query 2026-08-25 found no exact match
Leptosphaerulina australis	Leptosphaerulina australis		fungi	318710	leaf spot	叶斑病	confirmed	Liu Y, Wu S, Li X, et al. Occurrence of maize leaf spot disease caused by Leptosphaerulina australis in Yunnan, China[J]. Plant Disease, 2024, 108(11): 3407.	present	43	MH857342.1; MH857343.1; MH857344.1; MH857766.1; MH859488.1; MH861604.1; MH862995.1; MN972986.1; MN972987.1; MN973372.2; MN973373.2; MN973374.2; MN973375.2; MN973376.2; MW063542.1; MW063543.1; MW063544.1; MW063545.1; MW063546.1; MW063547.1; MZ569635.1; MZ950664.1; OL617010.1; OL664059.1; OL664060.1; OL664061.1; OM237304.1; ON500579.1; ON712005.1; ON712588.1; OP219725.1; PP217321.1; PP217322.1; PP217323.1; PP217324.1; PP217325.1; PP217326.1; PP217327.1; PP217328.1; PP217329.1; PP217330.1; PP257796.1; PP351801.1		
Macrophomina phaseolina	Macrophomina phaseolina		fungi	35725	Charcoal rot	炭腐病	confirmed	Marquez N, Giachero M L, Declerck S, et al. Macrophomina phaseolina: General characteristics of pathogenicity and methods of control[J]. Frontiers in plant science, 2021, 12: 634397.	present	43	MH864176.1; MH864177.1; MH864178.1; MH864179.1; MH864180.1; MH864181.1; MH864183.1; MH864184.1; PZ274760.1; PZ578617.1; PZ580501.1; PZ583678.1; PZ584633.1; PZ585468.1; PZ585477.1; PZ585556.1; PZ585569.1; PZ585570.1; PZ585684.1; PZ585970.1; PZ585973.1; PZ590381.1; PZ590382.1; PZ619148.1; PZ619157.1; PZ619159.1; PZ619173.1; PZ619177.1; PZ619180.1; PZ623692.1; PZ625881.1; PZ654857.1; PZ673730.1; PZ675044.1; PZ675045.1; PZ675046.1; PZ713693.1; PZ728854.1; PZ742592.1; PZ745973.1; PZ746421.1; PZ761564.1; PZ798764.1		
Marasmiellus inoderma	Marasmiellus inoderma		fungi	3021703	stalk rot	茎腐病	confirmed	Sabet K A, Ashour W A, Samra A S, et al. Root-rot of maize caused by Marasmiellus inoderma[J]. Transactions of the British Mycological Society, 1970, 54(1): 123-IN15.	present	1	OQ282825.1		
Marasmius graminum var. brevispora / Marasmius graminum	Marasmius graminum/Marasmius graminum var. brevispora		fungi	160937	root /stalk rot	根腐/茎腐病	confirmed	PONT W. STUDIES ON ROOT ROT AND STALK ROT OF MAIZE IN NORTH QUEENSLAND CAUSED BY MARASMIUS SACCHARI WAKKER VAR.. HAW AIIENSIS COBB AND[J]. Queensland Journal of Agricultural and Animal Sciences, 1973, 30: 3.	present	4	JF908341.1; JN943595.1; MH857692.1; MT524457.1		
Marasmius sacchari var. hawaiiensis / Marasmius sacchar	Marasmius sacchar/Marasmius sacchari var. hawaiiensis		fungi	2075139	root /stalk rot	根腐/茎腐病	confirmed	PONT W. STUDIES ON ROOT ROT AND STALK ROT OF MAIZE IN NORTH QUEENSLAND CAUSED BY MARASMIUS SACCHARI WAKKER VAR.. HAW AIIENSIS COBB AND[J]. Queensland Journal of Agricultural and Animal Sciences, 1973, 30: 3.	missing	0		No public marker gene sequence found in NCBI GenBank (2026-08-25)	
Microdochium bolleyi	Microdochium bolleyi		fungi	196109	root rot	根腐病	confirmed	Stojkov S. The study of Microdochium bolleyi (Sprague) De Hoog and Hermandies-Nijof the fungus causing root rot of maize[J]. 1993.	present	43	LC897489.1; MH858255.1; MH858394.1; MH860598.1; MN957201.1; MN957605.1; MZ950665.1; MZ950666.1; MZ950667.1; MZ950668.1; MZ950669.1; MZ950670.1; OP710188.1; OR077980.1; PP156737.1; PP175541.1; PP175542.1; PP175543.1; PP175544.1; PP175545.1; PP175546.1; PP175547.1; PP175548.1; PP956625.1; PP956626.1; PQ804179.1; PQ879999.1; PQ880021.1; PV226166.1; PV368024.1; PV432480.1; PV444748.1; PV590691.1; PV592488.1; PV688660.1; PX118463.1; PX587459.1; PX682838.1; PX684562.1; PX979157.1; PX979159.1; PX979160.1; PX979393.1		
Microdochium seminicola	Microdochium seminicola		fungi	1682390	Tar Spot	焦斑病	confirmed	Ferreira L C, de Moura V A S, Resende Jr M F R, et al. Pathobiome Analyses Reveal Structural Changes in Maize Microbiomes Associated with Phyllachora maydis and Tar Spot Disease[J]. Phytobiomes Journal, 2025, 9(4): 620-635.	present	23	KP859007.1; KP859011.1; KP859017.1; KP859019.1; KP859020.1; KP859021.1; KP859023.1; KP859029.1; KP859030.1; KP859031.1; KP859032.1; KP859033.1; KP859034.1; KP859036.1; KP859037.1; KP859038.1; KX426950.1; KX426969.1; MK990150.1; MN759671.1; MN759684.1; OQ415349.1		
