species	taxid	category	citation_id	raw_chunk	extracted_doi	crossref_doi	crossref_title	crossref_container	crossref_year	crossref_score	crossref_error	pubmed_pmid	pubmed_title	pubmed_year	pubmed_score	pubmed_error	resolution_status	verification_required	review_decision	reviewer	review_date	review_notes
Alphanucleorhabdovirus zeairanense	348823	viruses	348823.1	Ghorbani A, Izadpanah K, Dietzgen R G. Changes in maize transcriptome in response to maize Iranian mosaic virus infection[J]. Plos one, 2018, 13(4): e0194592.		10.1371/journal.pone.0194592	Changes in maize transcriptome in response to maize Iranian mosaic virus infection	PLOS ONE	2018			29634778	Changes in maize transcriptome in response to maize Iranian mosaic virus infection.	2018			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
American wheat striate mosaic virus	1985707	viruses	1985707.1	Slykhuis J T. Vector and host relations of North American wheat striate mosaic virus[J]. Canadian Journal of Botany, 1963, 41(8): 1171-1185.		10.1139/b63-098	VECTOR AND HOST RELATIONS OF NORTH AMERICAN WHEAT STRIATE MOSAIC VIRUS	Canadian Journal of Botany	1963								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-29	strict_doi_match
Aureusvirus zeae	445227	viruses	445227.1	Zhang L, Zitter T A, Lulkin E J. Artificial inoculation of maize white line mosaic virus into corn and wheat[J]. 1991.		10.1094/phyto-81-397	Artificial Inoculation of Maize White Line Mosaic Virus into Corn and Wheat	Phytopathology	1991								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Betacytorhabdovirus hordei	2545470	viruses	2545470.1	Greber R S. Maize sterile stunt—a delphacid transmitted rhabdovirus disease affecting some maize genotypes in Australia[J]. Australian Journal of Agricultural Research, 1982, 33(1): 13-23.		10.1071/ar9820013	Maize sterile stunt — a delphacid transmitted rhabdovirus disease affecting some maize genotypes in Australia	Australian Journal of Agricultural Research	1982								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-20	strict_doi_match
Bromovirus BMV	12302	viruses	12302.1	Aguilera S, Rodríguez-Escobar J G, Romero-González V N, et al. Identification and abundance of six viruses and a spiroplasma in single and mixed infections in maize fields in Veracruz, Mexico[J]. Revista bio ciencias, 2019, 6.		10.2139/ssrn.4752320	Single and Mixed Infections of Six Major Potato Viruses in Four Major Potato-Growing Districts of Eastern Ethiopia		2024								AUTO_CANDIDATE_LOW	yes	Not found	Gui-Feng Gao	2026-08-20	title_mismatch overlap=0.32; openalex_no_doi
Cucumovirus CMV	12305	viruses	12305.1	Kim M K, Kwak H R, Lee S H, et al. Characteristics of Cucumber mosaic virus isolated from Zea mays in Korea[J]. The Plant Pathology Journal, 2011, 27(4): 372-377.		10.5423/ppj.2011.27.4.372	Characteristics of Cucumber mosaic virus isolated from Zea mays in Korea	The Plant Pathology Journal	2011								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Emaravirus tritici	1980428	viruses	1980428.1	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.		10.1016/b978-0-12-801246-8.00008-1	Control of Virus Diseases in Maize	Advances in Virus Research	2014			25410107	Control of virus diseases in maize.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-27	strict_doi_match
Fijivirus alporyzae	10990	viruses	10990.1	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.		10.1016/b978-0-12-801246-8.00008-1	Control of Virus Diseases in Maize	Advances in Virus Research	2014			25410107	Control of virus diseases in maize.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Fijivirus boryzae	519497	viruses	519497.1	Zhou G, Xu D, Xu D, et al. Southern rice black-streaked dwarf virus: a white-backed planthopper-transmitted fijivirus threatening rice production in Asia[J]. Frontiers in microbiology, 2013, 4: 270.		10.3389/fmicb.2013.00270	Southern rice black-streaked dwarf virus: a white-backed planthopper-transmitted fijivirus threatening rice production in Asia	Frontiers in Microbiology	2013			24058362	Southern rice black-streaked dwarf virus: a white-backed planthopper-transmitted fijivirus threatening rice production in Asia.	2013			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Fijivirus cuartoense	185954	viruses	185954.1	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.		10.1016/b978-0-12-801246-8.00008-1	Control of Virus Diseases in Maize	Advances in Virus Research	2014			25410107	Control of virus diseases in maize.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-21	strict_doi_match
Fijivirus zeae	10989	viruses	10989.1	Redinbaugh M G, Zambrano J L. Control of virus diseases in maize[J]. Advances in virus research, 2014, 90: 391-429.		10.1016/b978-0-12-801246-8.00008-1	Control of Virus Diseases in Maize	Advances in Virus Research	2014			25410107	Control of virus diseases in maize.	2014			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-23	strict_doi_match
Gammanucleorhabdovirus cerealis	2964312	viruses	2964312.1	Greber R S. Cereal chlorotic mottle virus—a rhabdovirus of Gramineae in Australia transmitted by Nesoclutha pallida (Evans)[J]. Australian Journal of Agricultural Research, 1979, 30(3): 433-443.		10.1071/ar9790433	Cereal chlorotic mottle virus — a rhabdovirus of Gramineae in Australia transmitted by Nesoclutha pallida (Evans)	Australian Journal of Agricultural Research	1979								AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-28	strict_doi_match
Gammanucleorhabdovirus maydis	209854	viruses	209854.1	Redinbaugh M G, Seifers D L, Meulia T, et al. Maize fine streak virus, a new leafhopper-transmitted rhabdovirus[J]. Phytopathology, 2002, 92(11): 1167-1174.		10.1094/phyto.2002.92.11.1167	Maize fine streak virus, a New Leafhopper-Transmitted Rhabdovirus	Phytopathology®	2002			18944241	Maize fine streak virus, a New Leafhopper-Transmitted Rhabdovirus.	2002			AUTO_CANDIDATE_HIGH	no	Correct	Gui-Feng Gao	2026-08-26	strict_doi_match
