species	taxid	category	search_string	hits	unique_pmids
Fusarium andiyazi	520446	fungi	"Fusarium andiyazi"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	5	5
Fusarium asiaticum	282267	fungi	"Fusarium asiaticum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	10	10
Fusarium avenaceum	40199	fungi	"Fusarium avenaceum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	10	10
Fusarium boothii	282271	fungi	"Fusarium boothii"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	5	5
Fusarium camptoceras	57143	fungi	"Fusarium camptoceras"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium cerealis / Fusarium crookwellense	56641	fungi	"Fusarium cerealis / Fusarium crookwellense"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium chlamydosporum	86545	fungi	"Fusarium chlamydosporum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Fusarium concentricum	48491	fungi	"Fusarium concentricum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium culmorum	5516	fungi	"Fusarium culmorum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	51	51
Fusarium equiseti	61235	fungi	"Fusarium equiseti"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	14	14
Fusarium globosum	78864	fungi	"Fusarium globosum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	2	2
Fusarium graminearum (Gibberella zeae)	5518	fungi	"Fusarium graminearum (Gibberella zeae)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium incarnatum (F. semitectum)	298378	fungi	"Fusarium incarnatum (F. semitectum)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium kyushuense	56665	fungi	"Fusarium kyushuense"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Fusarium meridionale	282269	fungi	"Fusarium meridionale"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	11	11
Fusarium napiforme	42672	fungi	"Fusarium napiforme"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium oxysporum	5507	fungi	"Fusarium oxysporum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	124	124
Fusarium poae	36050	fungi	"Fusarium poae"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	14	14
Fusarium proliferatum	948311	fungi	"Fusarium proliferatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	133	133
Fusarium pseudograminearum	101028	fungi	"Fusarium pseudograminearum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	7	7
Fusarium pseudonygamai	47755	fungi	"Fusarium pseudonygamai"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	1	1
Fusarium sacchari	42676	fungi	"Fusarium sacchari"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	3	3
Fusarium solani (Neocosmospora solani)	169388	fungi	"Fusarium solani (Neocosmospora solani)"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	0	0
Fusarium sporotrichioides	5514	fungi	"Fusarium sporotrichioides"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	16	16
Fusarium subglutinans	42677	fungi	"Fusarium subglutinans"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	48	48
Fusarium temperatum	1035347	fungi	"Fusarium temperatum"[Title/Abstract] AND (maize[Title/Abstract] OR corn[Title/Abstract] OR "Zea mays"[Title/Abstract])	22	22
